A	a
Weite	wideness
Erweiterbarkeit	extendibility
expansiv	expansively
Expansionspolitik	expansionism
Expansionist	expansionist
Auswanderer	expatriate
Erwartung	expectation
erwartungsvoll	expectantly
erwartungsgemäß	expectedly
zweckmäßig	expediential
zweckmäßigerweise	expediently
zügig	expeditiously
Expedition	expedition
Schnelligkeit	swiftness
ausweisungsfähig	expellable
aufwenden	expend
Entbehrlichkeit	expendability
Ausgaben	spending
Aufwand	outlay
Kosten	expenses
Erfahrung	experience
erfahren	experienced
erfahrungsgemäß	experiential
Experiment	experiment
Experimental-	experimental
Experimentator	experimenter
experimentell	experimentally
Experimentieren	experimentation
experimentiert	experimented
Experte	expert
Sachverstand	expertise
fachmännisch	expertly
Ablauf	lapse
erlöschen	expire
abgelaufen	expiree
ablaufend	expiring
erklärbar	explicable
Erklärer	explainer
Erläuterung	explanation
erklärend	explicatory
erläuternd	explanatory
Kraftausdruck	expletive
ERLÄUTERND	explicative
ausdrücklich	expressly
Eindeutigkeit	unambiguousness
explodieren	skyrocket
explodierte	exploded
Exploder	exploder
ausbeuten	exploiter
ausnutzbar	exploitable
Ausbeutung	exploitation
ausbeuterisch	exploitive
Erkundung	exploration
explorativ	exploratory
erkunden	scout
Forscher	researcher
explosiv	explosively
Explosivität	explosiveness
Messe	expo
exponentiell	exponentially
Export	export
Exportfähigkeit	exportability
exportierbar	exportable
Ausfuhr	exportation
Exporteur	exporter
exponierbar	exposable
exponieren	expose
ausgesetzt	suspended
Exponiertheit	exposedness
Exposition	exposition
Expositorium	expository
Belichtung	exposure
äußern	express
ausgedrückt	expressed
Ausdrücker	expresser
ausdrückbar	expressible
Ausdruck	expression
Expressionismus	expressionism
Expressionist	expressionist
ausdruckslos	unexpressive
ausdrucksvoll	expressive
Ausdruckskraft	expressivity
Schnellstraße	speedway
austreibend	expulsive
exquisit	exquisitely
Erweiterbar	extendable
ausgedehnt	extendedly
ausziehbar	extendible
umfangreich	extensive
Ausmaß	extent
beschönigen	extenuate
mildernd	mitigating
Beschönigung	extenuation
Außen	exterior
Kammerjäger	exterminator
extern	external
Externalismus	externalism
Externalist	externalist
Äußerlichkeit	externality
Externalisierung	externalization
externalisieren	externalize
äußerlich	externally
Äußerlichkeiten	externals
ausgestorben	extinct
Aussterben	extinction
ausgelöscht	extinguished
erpressen	extort
erpressend	extortive
extra	extra
extrazellulär	extracellular
Extrakt	extract
extrahierbar	extractible
extrahiert	extracted
Extraktion	extraction
extraktiv	extractive
außerhalb des Lehrplans	extracurricular
auslieferungsfähig	extraditable
ausliefern	extradite
Auslieferung	extradition
außergerichtlich	extrajudicial
außerehelich	extramarital
fremd	extraneous
von außen	extraneously
Fremdheit	strangeness
außerordentlich	extraordinarily
Extras	extras
außersinnlich	extrasensory
außerirdisch	extraterrestrial
extraterritorial	extraterritorially
Extravaganz	flamboyancy
extravagant	flamboyantly
extrovertiert	extroverted
extrem	extreme
äußerst	uttermost
Extremität	extremity
Extremismus	extremism
Extremist	extremist
extrinsisch	extrinsically
extrudieren	extruding
Extrusion	extrusion
Überschwang	exuberance
verströmen	exude
Auge	eye
Augapfel	eyeball
für das Bad	eyebath
Augenbraue	eyebrow
Augentropfen	eyedrop
Pipette	pipette
Augenfällig	eyeful
Brille	spectacles
LED	led
augenlos	eyeless
Öse	eyelet
Augenlid	eyelid
augenartig	eyelike
Eyeliner	eyeliner
Augenklappe	eyepatch
Okular	ocular
Augen	macho
Augenschirm	eyeshade
Lidschatten	eyeshadow
Sehvermögen	eyesight
Schandfleck	eyesore
Überanstrengung der Augen	eyestrain
Augenspülung	eyewash
Brillen	eyewear
Augenzwinkern	eyewink
Augenzeuge	eyewitness
fabelhaft	marvelous
Fabel	fable
sagenumwoben	fabled
Stoff	fabric
fabrizieren	fabricate
Hersteller	producer
Fabelhaftigkeit	fabulousness
Fassade	facade
Gesicht	face
Facebook	facebook
Waschlappen	washrag
konfrontiert	faced
gesichtslos	faceless
Facelift	facelift
Frontplatte	faceplate
Facette	facet
facettiert	faceted
scherzhaft	kidding
Scherzhaftigkeit	facetiousness
Gesichts-	facial
im Gesicht	facially
erleichtern	lighten
Erleichterung	reliever
erleichternd	facilitative
Einrichtungen	facilities
gegenüber	facing
Faksimile	facsimile
Tatsache	fact
Fraktion	fraction
fraktionell	factional
Fraktionismus	factionalism
faktisch	factitiously
Faktoid	factoid
Faktor	factor
Faktorisierbarkeit	factorability
faktorierbar	factorable
Faktorisierung	factorization
Fabrik	factory
Faktizität	factuality
Sachlichkeit	factualness
Fakultät	faculty
Mode	fashion
verblassen	fade
verblasst	pales
Fader	fader
Fading	fading
Thema	theme
Schwuchtel	faggot
scheitern	feeler
Versagen	failure
ausfallsicher	failsafe
schwächer	fainter
Kleinmut	faintheartedness
Ohnmacht	swoon
wird ohnmächtig	faints
gerechter	fairer
Messegelände	fairground
ziemlich	tolerably
Gerechtigkeit	righteousness
Fahrrinne	fairway
Fee	fairy
feenhaft	fairylike
Märchen	folktale
treu	loyal
treulos	faithlessly
Treulosigkeit	faithlessness
gefälscht	fake
Schwindler	swindler
Falke	hawk
Falkner	falconer
Falknerei	falconry
zurückgreifen	fallback
gefallen	fallen
Fehlbarkeit	fallibility
fehlbar	fallible
Eileiter	fallopian
FALSCH	outhit
falschherzig	falsehearted
Lüge	lie
Falsett	falsetto
falsifizierbar	falsifiable
Fälschung	forgery
ins Wanken geraten	falter
stockt	falterer
stockend	haltingly
berühmt	illustrious
vertraut	familiar
Vertrautheit	familiarity
Kennenlernen	familiarization
vertraut machen	familiarize
Familie	family
Hungersnot	famine
hungern	famish
ausgehungert	ravenously
Lüfter	fan
Fanatiker	fanatic
fanatisch	fanatically
fanatisieren	fanaticize
fantasievoll	imaginative
Fantasie	fantasy
Raffiniertheit	fanciness
Fantasiearbeit	fancywork
Fangemeinde	fandom
Fanfare	fanfare
Fang	fang
ohne Reißzähne	fangless
Oberlicht	fanlight
Wo auch immer sofort	fanlike
fächern	fanning
Fanny	fanny
Fantail	fantail
fantasist	fantasist
phantasieren	fantasize
fantastisch	fantastically
Phantastik	fantasticality
Lebewohl	farewell
weit hergeholt	farfetchedness
Bauernhof	farm
landwirtschaftlich nutzbar	farmable
Bauer	farmer
Bauernhaus	farmhouse
weitsichtig	farsightedly
Weitsichtigkeit	farsightedness
Furz	fart
weiter	onwards
am weitesten	furthest
faszinieren	fascinate
fasziniert	intrigued
faszinierend	spellbinding
Faszination	fascination
Faschismus	fascism
faschistisch	fascist
modisch	fashionably
gestaltet	fashioned
Modeer	fashioner
Fashionista	fashionista
Modehändler	fashionmonger
schnell	swiftly
fasten	fasten
Befestigung	fortification
Schneller	faster
Fasten	fasting
Echtheit	genuineness
fett	fat
fatale	fatale
Fatalismus	fatalism
fatalistisch	fatalistically
Todesfall	fatalness
Schicksal	fate
schicksalhaft	fated
Schicksalhaftigkeit	fatefulness
Dickkopf	fathead
dickköpfig	thickheaded
Vater	padre
gezeugt	fathered
Vaterschaft	paternity
Vaterland	fatherland
vaterlos	fatherless
Vaterlosigkeit	fatherlessness
Väterlichkeit	fatherliness
väterlich	fatherly
ergründen	fathom
ergründbar	fathomable
unergründlich	unfathomable
Ermüdung	fatigue
ermüdungsfrei	fatigueless
ermüdend	wearying
Fettigkeit	oiliness
Dickmacher	fattener
dicker	fatter
fettig	greasy
Wasserhahn	faucet
die Fehlersuche	faultfinding
einwandfrei	unexceptionable
Fauna	fauna
favorisieren	favor
günstig	favorably
Günstigkeit	favorableness
begünstigt	favored
Begünstigung	favoring
Favorit	favorite
Bevorzugung	favoritism
kriecherisch	fawningly
Fax	fax
furchtlos	unafraid
Furchtlosigkeit	fearlessness
furchterregend	fearsomely
furchteinflößend	fearsomeness
Durchführbarkeit	feasibility
Machbarkeit	feasibleness
Fest	feast
feat	feat
Feder	feather
Federbett	featherbed
Federhirn	featherbrain
gefiedert	plumed
Federhaftigkeit	featheriness
Federn	feathering
federlos	featherless
federartig	featherlike
Federgewicht	featherweight
federleicht	feathery
vorgestellt	featured
ohne Merkmale	featureless
Februar	february
Fäkalien	fecal
gefüttert	lined
Föderation	federation
föderal	federal
Föderalist	federalist
Föderalisierung	federalization
föderalisieren	federalize
föderativ	federally
Fedora	fedora
Gebühr	fee
füttern	feed
Rückmeldung	feedback
Futtersack	feedbag
Futterbox	feedbox
Futterspender	feeder
Füttern	feeding
fühlen	feel
Gefühl	sentiment
gefühlvoll	soulful
vortäuschen	feigning
vorgetäuscht	pretended
temperamentvoll	temperamentally
fällen	fell
Gefährte	fellow
Mitmensch	fellowman
Schwerverbrecher	felon
verbrecherisch	feloniously
gefühlt	felt
verfilzt	matted
weiblich	womanly
feminin	femininely
Feminismus	feminism
Feminist	feminist
feministisch	feministic
Feminisierung	feminization
feminisieren	feminize
Zaun	fence
zaunlos	fenceless
Zaunpfosten	fencepost
Fechter	fencer
Fechten	fencing
abwehren	fend
Fender	fender
wild	wildly
Ferment	ferment
vergärbar	fermentable
Fermentation	fermentation
fern	fern
heftig	ferociously
Wildheit	wildness
Frettchen	ferret
Fähre	ferry
Fährmann	ferryman
fruchtbar	fruitfully
Fruchtbarkeit	fertility
befruchtbar	fertilizable
Düngung	fertilization
düngen	manure
Dünger	fertilizer
inbrünstig	fervent
Inbrunst	fervor
fest	solidly
fester	firmer
Festival	festival
festlich	festively
Festlichkeit	festiveness
fötal	fetal
geholt	fetched
holen	fetching
Fetisch	fetish
Fettuccine	fettuccine
Fötus	fetus
Fehde	feud
feudal	feudal
Feudalismus	feudalism
Feudalist	feudalist
Feudalität	feudality
Feudalisierung	feudalization
Fieber	feverishness
fiebert	fevered
fiebrig	feverish
fieberhaft	feverously
wenige	few
Verlobter	fiance
Verlobte	fiancee
Fiasko	fiasco
Fiat	fiat
Flunkerei	fib
Flunkerer	fibber
Faser	fiber
Faserplatte	fiberboard
Glasfaser	fiberglass
Faserigkeit	fibrousness
Fibel	fibula
wankelmütig	fickle
Wankelmut	fickleness
Fiktion	fictitiousness
fiktiv	fictitiously
fiktionalisieren	fictionalize
Geige	fiddle
Geiger	fiddler
Geigenstock	fiddlestick
Geigenstöcke	fiddlesticks
Geigenspiel	fiddling
zappeln	wriggle
Unruhe	unsettlement
zappelig	wriggly
Feld	field
Feldspieler	fielder
Feldmann	fieldsman
Feldarbeit	fieldwork
Feldarbeiter	fieldworker
feurig	mettlesome
Fiesta	fiesta
fünfzehn	fifteen
fünfte	fifth
fünfzigste	fiftieth
fünfzig	fifty
fünfzigfach	fiftyfold
Feige	fig
Kämpfer	struggler
Erfindung	invention
bildlich	pictorially
im übertragenen Sinne	figuratively
Bildhaftigkeit	figurativeness
Figur	figurine
dachte	figured
Galionsfigur	figurehead
figurlos	figureless
Filament	filament
Datei	file
Dateiname	filename
Filer	filer
Filet	tenderloin
Dateityp	filetype
obstruieren	filibusterer
Einreichung	filing
Einreichungen	filings
füllen	fill
gefüllt	filled
Füllstoff	filler
filetieren	filleting
Füllung	stuffing
Film	movie
filmable	filmable
Kinobesucher	filmgoer
Filmhaftigkeit	filminess
Filmemacher	moviemaker
Filmstreifen	filmstrip
Filme	filmy
Filter	filterer
filterbar	filterable
Filterung	filtering
filtrieren	filtrate
Filtration	filtration
finagle	finagle
Finale	slut
Finalist	finalist
Finalisierung	finalization
abschließen	finalize
Endlich	finally
Finanzen	finance
finanziell	financially
Financier	financier
Fink	finch
finden	finding
findet	finder
Bußgeld	fine
fein	finely
Feinheit	fineness
feiner	finer
Finesse	finesse
Finger	finger
Griffbrett	fingerboard
gefingert	thumbed
Fingersatz	fingering
fingerlos	fingerless
fingerartig	fingerlike
Fingernagel	fingernail
Fingerabdruck	fingerprint
Fingerabdrücke	fingerprinting
Fingerspitze	fingertip
pingelig	fussy
fertig	readymade
Finisher	finisher
endlich	finitely
flossenartig	finlike
für	for
Feuer	fire
Feuerwaffe	firearm
Feuerball	fireball
Feuerlöschboot	fireboat
Brandbombe	firebomb
Feuerraum	firebox
Schamottstein	firebrick
Feuerwerkskörper	firecracker
gefeuert	fired
Feuergefecht	firefight
Feuerwehrmann	fireman
Glühwürmchen	glowworm
Feuerwehrschlauch	firehose
Feuerhaus	firehouse
Feuerhydrant	firehydrant
feuerlos	fireless
feuerlicht	firelight
Kamin	fireplace
Feuerstecker	fireplug
Feuerkraft	firepower
feuerfest	refractory
Brandschutz	fireproofing
Feuersturm	firestorm
Feuerfalle	firetrap
Feuerwehrauto	firetruck
Firewall	firewall
Feuer Wasser	firewater
Brennholz	firewood
Feuerwerk	fireworks
Brennen	firing
Firma	firm
Festigkeit	fixedness
Firmware	firmware
Erstgeborener	firstborn
aus erster Hand	firsthand
zuerst	firstly
fiskalisch	fiscally
Fisch	fish
fischbar	fishable
Gräten	fishbone
Fischglas	fishbowl
gefischt	fished
Fischer	fisherman
Fischerin	fisherwoman
Fischerei	fishery
Fischauge	fisheye
Angelhaken	fishhook
Fischhaken	fishhooks
fischig	fishy
Fischigkeit	fishiness
Angeln	fishing
Angelrute	fishingrod
fischartig	fishlike
Fischmahlzeit	fishmeal
Fischnetz	fishnet
Fischteich	fishpond
Fischschwanz	fishtail
Faust	fist
gefistet	fisted
Faustkampf	fistfight
fit	fit
unruhig	unsettled
Fitness	fitness
tailliert	fitted
passend zu	fitting
Passgenauigkeit	fittingness
fünf	five
Fünfer	fives
Fix	fix
reparierbar	fixable
fixieren	fixate
Fixierung	fixation
Fixer	fixer
Festsetzung	fixing
Vorrichtung	jig
fizz	fizz
zischen	fizzle
Fjord	fjord
Schlaffheit	slackness
Flagge	flag
flackernd	flickeringly
Fahnenlos	flagless
Flaggschiff	flagship
Fahnenstange	flagpole
flagrant	flagrant
schamlos	unblushing
Fahnenmast	flagstaff
Flaggenstock	flagstick
Steinplatte	flagstone
Dreschflegel	flail
Flocke	flake
flockig	flaky
Schuppenbildung	flakiness
Flamme	flame
geflammt	flamed
flammenlos	flameless
Flammenwerfer	flamethrower
Flamingo	flamingo
Entflammbarkeit	inflammability
Torte	pie
Flanke	flank
flankiert	flanked
flankierend	flanking
Flanell	flannel
Flanelle	flannels
Klappe	flap
Flapjack	flapjack
Flapper	flapper
Fackel	torch
Fackeln	flares
Aufflackern	flaring
Rückblende	flashback
Blitzlicht	flashbulb
Speicherkarte	flashcard
Blinker	flasher
Taschenlampe	flashlight
Flammpunkt	flashpoint
Flachbett	flatbed
Flachboot	flatboat
Plattfuß	flatfoot
Flachkopf	flathead
Bügeleisen	flatiron
Flachland	lowland
rundweg	flatly
Flachbildschirm	flatscreen
flatten	flatten
Abflacher	flattener
Abflachung	flattening
schmeicheln	flatter
geschmeichelt	flattered
Schmeichler	flatterer
schmeichelhaft	flattering
schmeichlerisch	flatteringly
Schmeichelei	flattery
flach	shallowly
Blähung	flatulence
Flatulenz	flatulency
blähend	flatulently
Plattwurm	flatworm
zur Schau stellen	flaunter
protzig	pretentious
Geschmack	tastefulness
Aromen	flavorings
Mangel	shortcoming
Makellosigkeit	spotlessness
Leinsamen	linseed
Floh	flea
fliehen	flee
fleck	fleck
floh	fled
Vlies	fleece
geschröpft	fleeced
flauschig	fluffily
Flotte	fleet
flüchtig	volatile
Fleisch	meat
fleischig	meaty
Fleischigkeit	meatiness
fleischlos	meatless
geflogen	flown
Flexibilität	flexibleness
flexibel	flexibly
schnippen	flick
flackern	flicker
flackert	flickering
Flug	flight
Flatterhaftigkeit	flightiness
flugunfähig	flightless
flatterhaft	flighty
flimflam	flimflam
fadenscheinig	flimsily
Dürftigkeit	scantiness
dünn	thinly
zusammenzucken	flincher
zuckend	wincingly
schleudern	slinging
Feuerstein	flintstone
umdrehen	flipping
leichtfertig	frivolously
Flipper	pinball
Kehrseite	flipside
Flirt	flirtatiousness
kokett	flirtatiously
flirten	flirting
flirtend	flirtingly
huschend	flittingly
schweben	levitate
Schwimmfähigkeit	floatability
schwimmfähig	floatable
Flotation	flotation
Schwimmer	swimmer
schwebend	hovering
Herde	herd
Beflockung	flocking
Herdenlos	flockless
flog	flog
Peitsche	whip
Flut	flood
überflutbar	floodable
überflutet	flooded
Überschwemmung	flooding
Schleuse	floodgate
überschwemmungslos	floodless
Scheinwerfer	spotlight
Flutlicht	floodlighting
Überschwemmungsgebiet	floodplain
Hochwasser	floodway
Boden	soil
Diele	floorboard
Bodenbelag	flooring
floozy	floozy
Flop	flop
Schlappheit	floppiness
Blumen-	floral
blumig	flowery
fluoreszierend	fluorescent
Florist	florist
Floristik	floristry
Zahnseide	flossing
Flunder	flounder
zappelnd	floundering
Mehl	flour
blühen	flourish
Schnörkel	flourisher
gedeiht	thriving
blühend	flourishingly
ohne Mehl	flourless
mehlartig	flourlike
mehlig	floury
fließen	flow
Flussdiagramm	flowchart
Blume	flower
Blumenbeet	flowerbed
geblüht	flowered
Blumigkeit	floweriness
Blumentopf	flowerpot
fließend	fluently
Grippe	influenza
schwankend	waveringly
schwanken	teeter
Fluktuation	fluctuation
Geläufigkeit	fluency
Flaum	fuzz
flauschige	fluffy
Flüssigkeit	liquidness
Fluidisierung	fluidization
flüssig	runny
Fließfähigkeit	fluidness
Fluke	fluke
geschleudert	hurled
durchfallen	flunk
Fluorid	fluoride
Fluor	fluorine
Fluorit	fluorite
spülen	rinse
Spüler	flusher
Spülung	flushness
Flöte	flute
geriffelt	ridged
flattern	wobble
flatternd	fluttery
Fluss	river
Fliege	fly
flugfähig	flyable
wegfliegen	flyaway
Flyboy	flyboy
fliegen durch	flyby
Fliegenfänger	flycatcher
Flyer	flyer
fliegend	flying
Überführung	overpass
Fliegenpapier	flypaper
Fliegenklatsche	swatter
Fliegenfalle	flytrap
Schwungrad	flywheel
Schaum	suds
Schaumigkeit	frothiness
schäumend	frothing
schaumlos	foamless
schaumig	sudsy
Fokussierung	focalization
fokussierbar	focusable
Nebel	nebulae
beschlagen	misted
neblig	misty
nebelig	foggy
Nebelhorn	foghorn
nebellos	fogless
vereiteln	frustrate
falten	replier
faltbar	foldable
gefaltet	folded
Ordner	folder
ausklappbar	foldout
Laub	foliage
belaubt	leafy
blättrig	foliated
Volk	folk
Folklorist	folklorist
folkloristisch	folkloristic
Leute	folks
Volkstümlichkeit	folksiness
Volkslied	folksong
Follikel	follicle
folgen	follow
folgende	following
Torheit	folly
gern	gladly
Streicheln	fondling
Vorliebe	fondness
Fondue	fondue
Schriftart	font
Schriftgröße	fontsize
Nahrungsmittel	foodstuff
Narr	jester
tollkühn	foolhardy
Tollkühnheit	foolhardiness
töricht	foolishly
narrensicher	foolproof
Fuß	foot
Filmmaterial	footage
Fußball	soccer
Fußballer	footballer
Fußbad	footbath
Trittbrett	footboard
Steg	footbridge
Fußtuch	footcloth
mit Füßen	footed
Fusszeile	footer
Schuhwerk	footwear
Vorberg	foothill
Stand halten	foothold
Fundament	footing
ohne Fuß	footless
Lakai	footman
Fußnote	footnoted
Fußpolster	footpad
Fußweg	footpath
Fußplatte	footplate
Fußabdruck	footprint
Wettrennen	race
Fußstütze	footrest
Footsie	footsie
Fußschmerzen	footsoreness
Schritt	step
Schritte	steps
Fußbank	footstool
fußig	footsy
Beinarbeit	footwork
Sammler	gatherer
verboten	forbidden
Nachsicht	leniency
langmütig	forbearing
nachsichtig	leniently
Gewalt	violence
gezwungen	forced
kraftvoll	vigorously
Kraft	vigorousness
kraftlos	forceless
Zange	tongs
Kräfte	forces
gewaltsam	forcibly
Ford	ford
Vordergrund	foreground
Unterarm	underarm
Vorahnung	premonition
Ahnung	inkling
ahnungsvoll	forebodingly
Vorderhirn	forebrain
Vorhersage	prediction
Prognostiker	forecaster
abschottbar	foreclosable
abschotten	foreclose
Zwangsvollstreckung	foreclosure
Urvater	forefather
Zeigefinger	forefinger
vorhergehend	preceding
Vorhand	forehanded
Stirn	forehead
